40,Wireless Keyboard and Mouse Combo,40,Electronics,40,Combo set for convenient computer input
41,Smart Thermostat,80,Home Improvement,20,Programmable smart thermostat for energy efficiency
42,Wireless Earbuds,50,Electronics,60,Bluetooth wireless earbuds with noise cancellation
43,Electric Kettle,30,Appliances,30,Fast-boiling electric kettle for hot beverages
44,Portable Bluetooth Speaker,40,Electronics,40,Compact and portable speaker with Bluetooth connectivity
45,Multi-Tool Kit,25,Tools,25,Versatile multi-tool kit for various household tasks
46,Smart LED Light Bulbs,15,Home Improvement,50,Energy-efficient smart LED light bulbs with color options
47,External Hard Drive,70,Electronics,20,High-capacity external hard drive for data storage
48,Glass Food Storage Containers,20,Kitchenware,30,Set of glass containers for food storage
49,Wireless Charging Stand,30,Electronics,40,Charging stand for smartphones with wireless capabilities
50,Robot Vacuum Cleaner,200,Appliances,10,Smart robot vacuum for automated floor cleaning
51,EcoWash Portable Washing Machine,200,Appliances,50,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
52,Smartech Wireless Earbuds,300,Electronics,75,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
53,EcoWash Portable Washing Machine,400,Appliances,100,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
54,Smartech Wireless Earbuds,500,Electronics,125,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
55,ZenSpace Modular Sofa,600,Furniture,25,"Customizable modular sofa with eco-friendly materials and a modern design, offering both comfort and versatility for any living room."
56,BrightHome Solar LED Lights,700,Home Improvement,50,"Solar-powered LED lights for outdoor use, providing efficient and sustainable lighting solutions for your garden or patio."
57,TravelWise RFID Blocking Wallet,800,Accessories,75,Stylish and secure RFID-blocking wallet designed to protect personal information and keep your belongings safe while traveling.
58,ChefMaster Stainless Steel Cookware Set,900,Kitchenware,100,"High-quality stainless steel cookware set, including pots and pans with non-stick coating, perfect for any culinary enthusiast."
59,ProWrite Smart Notepad,1000,Office Supplies,125,"Digital notepad that syncs with your devices, allowing for easy note-taking, organizing, and sharing of your ideas."
60,Smartech Wireless Earbuds,100,Electronics,25,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
61,MultiPro Cordless Drill,200,Tools,50,"Versatile and powerful cordless drill with multiple attachments for drilling, screwing, and more, ideal for DIY enthusiasts."
62,Smartech Wireless Earbuds,300,Electronics,75,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
63,EcoWash Portable Washing Machine,400,Appliances,100,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
64,Smartech Wireless Earbuds,500,Electronics,125,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
65,FitTrack Smart Exercise Bike,600,Fitness,25,"Interactive smart exercise bike with real-time tracking, virtual courses, and adjustable resistance levels for a personalized workout experience."
66,EcoWash Portable Washing Machine,700,Appliances,50,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
67,Smartech Wireless Earbuds,800,Electronics,75,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
68,EcoWash Portable Washing Machine,900,Appliances,100,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
69,Smartech Wireless Earbuds,1000,Electronics,125,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
70,ZenSpace Modular Sofa,100,Furniture,25,"Customizable modular sofa with eco-friendly materials and a modern design, offering both comfort and versatility for any living room."
71,BrightHome Solar LED Lights,200,Home Improvement,50,"Solar-powered LED lights for outdoor use, providing efficient and sustainable lighting solutions for your garden or patio."
72,TravelWise RFID Blocking Wallet,300,Accessories,75,Stylish and secure RFID-blocking wallet designed to protect personal information and keep your belongings safe while traveling.
73,ChefMaster Stainless Steel Cookware Set,400,Kitchenware,100,"High-quality stainless steel cookware set, including pots and pans with non-stick coating, perfect for any culinary enthusiast."
74,ProWrite Smart Notepad,500,Office Supplies,125,"Digital notepad that syncs with your devices, allowing for easy note-taking, organizing, and sharing of your ideas."
75,Smartech Wireless Earbuds,600,Electronics,25,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
76,MultiPro Cordless Drill,700,Tools,50,"Versatile and powerful cordless drill with multiple attachments for drilling, screwing, and more, ideal for DIY enthusiasts."
77,Smartech Wireless Earbuds,800,Electronics,75,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
78,EcoWash Portable Washing Machine,900,Appliances,100,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
79,Smartech Wireless Earbuds,1000,Electronics,125,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
80,FitTrack Smart Exercise Bike,100,Fitness,25,"Interactive smart exercise bike with real-time tracking, virtual courses, and adjustable resistance levels for a personalized workout experience."
81,EcoWash Portable Washing Machine,200,Appliances,50,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
82,Smartech Wireless Earbuds,300,Electronics,75,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
83,EcoWash Portable Washing Machine,400,Appliances,100,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
84,Smartech Wireless Earbuds,500,Electronics,125,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
85,ZenSpace Modular Sofa,600,Furniture,25,"Customizable modular sofa with eco-friendly materials and a modern design, offering both comfort and versatility for any living room."
86,BrightHome Solar LED Lights,700,Home Improvement,50,"Solar-powered LED lights for outdoor use, providing efficient and sustainable lighting solutions for your garden or patio."
87,TravelWise RFID Blocking Wallet,800,Accessories,75,Stylish and secure RFID-blocking wallet designed to protect personal information and keep your belongings safe while traveling.
88,ChefMaster Stainless Steel Cookware Set,900,Kitchenware,100,"High-quality stainless steel cookware set, including pots and pans with non-stick coating, perfect for any culinary enthusiast."
89,ProWrite Smart Notepad,1000,Office Supplies,125,"Digital notepad that syncs with your devices, allowing for easy note-taking, organizing, and sharing of your ideas."
90,Smartech Wireless Earbuds,100,Electronics,25,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
91,MultiPro Cordless Drill,200,Tools,50,"Versatile and powerful cordless drill with multiple attachments for drilling, screwing, and more, ideal for DIY enthusiasts."
92,Smartech Wireless Earbuds,300,Electronics,75,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
93,EcoWash Portable Washing Machine,400,Appliances,100,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
94,Smartech Wireless Earbuds,500,Electronics,125,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
95,FitTrack Smart Exercise Bike,600,Fitness,25,"Interactive smart exercise bike with real-time tracking, virtual courses, and adjustable resistance levels for a personalized workout experience."
96,EcoWash Portable Washing Machine,700,Appliances,50,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
97,Smartech Wireless Earbuds,800,Electronics,75,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
98,EcoWash Portable Washing Machine,900,Appliances,100,"Energy-efficient portable washing machine with a compact design, perfect for small living spaces and environmentally conscious consumers."
99,Smartech Wireless Earbuds,1000,Electronics,125,High-quality wireless earbuds with noise-cancellation technology and long-lasting battery life for an immersive audio experience.
100,ZenSpace Modular Sofa,100,Furniture,25,"Customizable modular sofa with eco-friendly materials and a modern design, offering both comfort and versatility for any living room."
